Tipo de inmueble,Precio (admin_included),Estrato,Baños,Habitaciones,Parqueaderos,Area,Area Privada,Piso,Antiguedad,Precio_por_m2,Bedroom_Bath_Ratio,Size_Category_Small,Size_Category_Medium,Size_Category_Large,Size_Category_Huge,Cluster,Market_Segment
Apartamento,2900000.0,4.0,1.0,2.0,2.0,77.0,77.0,4.0,más de 30 años,37662.33766233766,2.0,False,True,False,False,1,Budget Compact Properties
Casa,4899999.0,4.0,2.0,4.0,1.0,268.0,268.0,0.0,más de 30 años,18283.578358208953,2.0,False,False,True,False,0,Premium Spacious Properties
Apartamento,1950000.0,4.0,1.0,1.0,1.0,45.0,41.0,4.0,16 a 30 años,43333.333333333336,1.0,True,False,False,False,1,Budget Compact Properties
Apartamento,3600000.0,5.0,3.0,4.0,2.0,91.0,91.0,0.0,16 a 30 años,39560.43956043956,1.3333333333333333,False,True,False,False,1,Budget Compact Properties
Apartamento,3000000.0,4.0,1.0,1.0,0.0,35.0,22.0,0.0,1 a 8 años,85714.28571428571,1.0,True,False,False,False,1,Budget Compact Properties
Apartamento,900000.0,4.0,1.0,1.0,0.0,22.0,22.0,1.0,9 a 15 años,40909.09090909091,1.0,False,False,False,False,1,Budget Compact Properties
Apartamento,700000.0,4.0,1.0,1.0,0.0,15.0,15.0,4.0,16 a 30 años,46666.666666666664,1.0,False,False,False,False,1,Budget Compact Properties
Apartamento,6500000.0,4.0,1.0,1.0,0.0,12.0,12.0,2.0,1 a 8 años,541666.6666666666,1.0,False,False,False,False,1,Budget Compact Properties
Casa,5300000.0,3.0,4.0,4.0,2.0,400.0,400.0,0.0,más de 30 años,13250.0,1.0,False,False,True,False,0,Premium Spacious Properties
Apartamento,1700000.0,5.0,1.0,1.0,0.0,18.0,18.0,4.0,1 a 8 años,94444.44444444444,1.0,False,False,False,False,1,Budget Compact Properties
Apartamento,730000.0,3.0,2.0,6.0,0.0,2.0,22.0,2.0,9 a 15 años,365000.0,3.0,False,False,False,False,1,Budget Compact Properties
Apartamento,650000.0,3.0,1.0,1.0,0.0,16.0,22.0,5.0,más de 30 años,40625.0,1.0,False,False,False,False,1,Budget Compact Properties
Apartamento,2100000.0,4.0,2.0,2.0,0.0,59.0,59.0,4.0,más de 30 años,35593.220338983054,1.0,True,False,False,False,1,Budget Compact Properties
Apartamento,1705000.0,4.0,1.0,1.0,0.0,23.0,23.0,2.0,1 a 8 años,74130.43478260869,1.0,False,False,False,False,1,Budget Compact Properties
Apartamento,2000000.0,3.0,1.0,2.0,0.0,100.0,100.0,1.0,más de 30 años,20000.0,2.0,False,True,False,False,1,Budget Compact Properties
Apartamento,1100000.0,4.0,1.0,1.0,0.0,25.0,25.0,0.0,16 a 30 años,44000.0,1.0,False,False,False,False,1,Budget Compact Properties
Apartamento,500000.0,4.0,1.0,1.0,0.0,2.2,2.2,1.0,16 a 30 años,227272.72727272726,1.0,False,False,False,False,1,Budget Compact Properties
Casa,12000000.0,4.0,5.0,1.0,1.0,398.0,398.0,2.0,9 a 15 años,30150.75376884422,0.2,False,False,True,False,0,Premium Spacious Properties
Apartamento,1600000.0,4.0,1.0,2.0,0.0,50.0,50.0,0.0,16 a 30 años,32000.0,2.0,True,False,False,False,1,Budget Compact Properties
Casa,14000000.0,3.0,4.0,11.0,4.0,452.0,452.0,0.0,más de 30 años,30973.451327433628,2.75,False,False,True,False,0,Premium Spacious Properties
Casa,6500000.0,4.0,4.0,3.0,2.0,222.0,22.0,2.0,más de 30 años,29279.27927927928,0.75,False,False,True,False,1,Budget Compact Properties
Apartamento,1650000.0,4.0,1.0,1.0,0.0,20.0,22.0,0.0,más de 30 años,82500.0,1.0,False,False,False,False,1,Budget Compact Properties
Apartamento,1750000.0,4.0,1.0,1.0,0.0,27.0,22.0,1.0,1 a 8 años,64814.81481481482,1.0,False,False,False,False,1,Budget Compact Properties
Apartamento,1200000.0,3.0,1.0,1.0,0.0,35.0,22.0,4.0,9 a 15 años,34285.71428571428,1.0,True,False,False,False,1,Budget Compact Properties
Apartamento,1350000.0,3.0,1.0,1.0,0.0,40.0,40.0,3.0,9 a 15 años,33750.0,1.0,True,False,False,False,1,Budget Compact Properties
Apartamento,2250000.0,4.0,1.0,1.0,1.0,45.0,45.0,0.0,menor a 1 año,50000.0,1.0,True,False,False,False,1,Budget Compact Properties
Apartamento,2500000.0,3.0,2.0,2.0,1.0,62.0,22.0,4.0,1 a 8 años,40322.58064516129,1.0,False,True,False,False,1,Budget Compact Properties
Casa,12000000.0,4.0,7.0,7.0,5.0,320.0,22.0,3.0,más de 30 años,37500.0,1.0,False,False,True,False,0,Premium Spacious Properties
Apartamento,1350000.0,3.0,1.0,1.0,0.0,25.0,23.0,3.0,1 a 8 años,54000.0,1.0,False,False,False,False,1,Budget Compact Properties
Apartamento,1600000.0,5.0,1.0,1.0,0.0,16.0,16.0,3.0,1 a 8 años,100000.0,1.0,False,False,False,False,1,Budget Compact Properties
Apartamento,1600000.0,3.0,1.0,1.0,0.0,35.0,22.0,2.0,menor a 1 año,45714.28571428572,1.0,True,False,False,False,1,Budget Compact Properties
Apartamento,500000.0,4.0,0.0,1.0,0.0,12.0,12.0,0.0,más de 30 años,41666.666666666664,2.0,False,False,False,False,1,Budget Compact Properties
Apartamento,1700000.0,4.0,1.0,1.0,0.0,45.0,45.0,0.0,16 a 30 años,37777.77777777778,1.0,True,False,False,False,1,Budget Compact Properties
Apartamento,1550000.0,4.0,1.0,1.0,0.0,45.0,45.0,0.0,más de 30 años,34444.444444444445,1.0,True,False,False,False,1,Budget Compact Properties
Apartamento,600000.0,3.0,2.0,3.0,0.0,16.0,16.0,2.0,1 a 8 años,37500.0,1.5,False,False,False,False,1,Budget Compact Properties
Casa,6350000.0,3.0,3.0,2.0,0.0,60.0,130.0,0.0,más de 30 años,105833.33333333333,0.6666666666666666,True,False,False,False,1,Budget Compact Properties
Apartamento,1400000.0,3.0,1.0,2.0,0.0,55.0,55.0,3.0,más de 30 años,25454.545454545456,2.0,True,False,False,False,1,Budget Compact Properties
Apartamento,650000.0,3.0,2.0,1.0,0.0,10.0,10.0,2.0,más de 30 años,65000.0,0.5,False,False,False,False,1,Budget Compact Properties
Apartamento,4300000.0,4.0,3.0,4.0,1.0,145.0,120.0,2.0,16 a 30 años,29655.172413793105,1.3333333333333333,False,False,True,False,1,Budget Compact Properties
Apartamento,2800000.0,4.0,2.0,1.0,1.0,41.0,41.0,0.0,menor a 1 año,68292.68292682926,0.5,True,False,False,False,1,Budget Compact Properties
Apartamento,1220000.0,3.0,1.0,1.0,0.0,25.0,20.0,2.0,más de 30 años,48800.0,1.0,False,False,False,False,1,Budget Compact Properties
Apartamento,460000.0,3.0,1.0,1.0,0.0,7.5,7.5,1.0,más de 30 años,61333.333333333336,1.0,False,False,False,False,1,Budget Compact Properties
Apartamento,50000.0,3.0,10.0,10.0,0.0,9.0,9.0,4.0,1 a 8 años,5555.555555555556,1.0,False,False,False,False,0,Premium Spacious Properties
Apartamento,5500000.0,6.0,3.0,3.0,3.0,116.0,116.0,16.0,1 a 8 años,47413.793103448275,1.0,False,True,False,False,1,Budget Compact Properties
Apartamento,3000000.0,4.0,2.0,2.0,1.0,91.0,91.0,2.0,más de 30 años,32967.03296703297,1.0,False,True,False,False,1,Budget Compact Properties
Apartamento,1900000.0,4.0,0.0,1.0,0.0,50.0,22.0,0.0,más de 30 años,38000.0,2.0,True,False,False,False,1,Budget Compact Properties
Casa,5200000.0,5.0,5.0,5.0,2.0,300.0,22.0,0.0,más de 30 años,17333.333333333332,1.0,False,False,True,False,0,Premium Spacious Properties
Casa,12000000.0,4.0,4.0,5.0,2.0,225.0,22.0,0.0,más de 30 años,53333.333333333336,1.25,False,False,True,False,1,Budget Compact Properties
Apartamento,750000.0,3.0,2.0,5.0,0.0,2.0,22.0,2.0,9 a 15 años,375000.0,2.5,False,False,False,False,1,Budget Compact Properties
Apartamento,1490000.0,3.0,1.0,1.0,0.0,40.0,22.0,1.0,16 a 30 años,37250.0,1.0,True,False,False,False,1,Budget Compact Properties
Casa,10500000.0,4.0,6.0,4.0,4.0,435.0,22.0,0.0,9 a 15 años,24137.931034482757,0.6666666666666666,False,False,True,False,0,Premium Spacious Properties
Apartamento,1900000.0,3.0,2.0,3.0,0.0,110.0,110.0,2.0,más de 30 años,17272.727272727272,1.5,False,True,False,False,1,Budget Compact Properties
Apartamento,1000000.0,4.0,1.0,1.0,0.0,23.0,23.0,2.0,9 a 15 años,43478.260869565216,1.0,False,False,False,False,1,Budget Compact Properties
Apartamento,800000.0,3.0,1.0,1.0,0.0,15.0,15.0,0.0,más de 30 años,53333.333333333336,1.0,False,False,False,False,1,Budget Compact Properties
Apartamento,1350000.0,4.0,2.0,1.0,0.0,80.0,80.0,4.0,9 a 15 años,16875.0,0.5,False,True,False,False,1,Budget Compact Properties
