location,price,habs,baños,area,tipo_inmueble,link
"Nicolas de federman, Bogotá","$ 4,500,000",4.0,3.0,164.0,Apartamento,"https://www,fincaraiz,com,co/arriendo/casas-y-apartamentos-y-apartaestudios-y-habitaciones/nicolas-de-federman/zona-occidental/bogota/apartamento-en-arriendo/191909091"
"Nicolas de federman, Bogotá","$ 2,500,000",2.0,2.0,46.0,Apartamento,"https://www,fincaraiz,com,co/arriendo/casas-y-apartamentos-y-apartaestudios-y-habitaciones/nicolas-de-federman/zona-occidental/bogota/apartamento-en-arriendo/191990741"
"Nicolas de federman, Bogotá","$ 2,500,000",1.0,1.0,36.0,Apartaestudio,"https://www,fincaraiz,com,co/arriendo/casas-y-apartamentos-y-apartaestudios-y-habitaciones/nicolas-de-federman/zona-occidental/bogota/apartaestudio-en-arriendo/192003381"
"Nicolas de federman, Bogotá","$ 3,200,000",4.0,2.0,110.0,Apartamento,"https://www,fincaraiz,com,co/arriendo/casas-y-apartamentos-y-apartaestudios-y-habitaciones/nicolas-de-federman/zona-occidental/bogota/apartamento-en-arriendo/192007367"
"Nicolas de federman, Bogotá","$ 3,500,000",3.0,2.0,65.0,Apartamento,"https://www,fincaraiz,com,co/arriendo/casas-y-apartamentos-y-apartaestudios-y-habitaciones/nicolas-de-federman/zona-occidental/bogota/apartamento-en-arriendo/192031970"
"Nicolas de federman, Bogotá","$ 3,600,000",4.0,3.0,91.0,Apartamento,"https://www,fincaraiz,com,co/arriendo/casas-y-apartamentos-y-apartaestudios-y-habitaciones/nicolas-de-federman/zona-occidental/bogota/apartamento-en-arriendo/191925043"
"Nicolas de federman, Bogotá","$ 3,500,000",4.0,3.0,140.0,Apartamento,"https://www,fincaraiz,com,co/arriendo/casas-y-apartamentos-y-apartaestudios-y-habitaciones/nicolas-de-federman/zona-occidental/bogota/apartamento-en-arriendo/191978591"
"Nicolas de federman, Bogotá","$ 8,000,000",1.0,3.0,450.0,Casa,"https://www,fincaraiz,com,co/arriendo/casas-y-apartamentos-y-apartaestudios-y-habitaciones/nicolas-de-federman/zona-occidental/bogota/casa-en-arriendo/191998151"
"Nicolas de federman, Bogotá","$ 2,900,000",2.0,2.0,73.0,Apartamento,"https://www,fincaraiz,com,co/arriendo/casas-y-apartamentos-y-apartaestudios-y-habitaciones/nicolas-de-federman/zona-occidental/bogota/apartamento-en-arriendo/192023289"
"Nicolas de federman, Bogotá","$ 2,500,000",2.0,2.0,54.0,Apartamento,"https://www,fincaraiz,com,co/arriendo/casas-y-apartamentos-y-apartaestudios-y-habitaciones/nicolas-de-federman/zona-occidental/bogota/apartamento-en-arriendo/192053600"
"Nicolas de federman, Bogotá","$ 1,500,000",1.0,1.0,40.0,Apartaestudio,"https://www,fincaraiz,com,co/arriendo/casas-y-apartamentos-y-apartaestudios-y-habitaciones/nicolas-de-federman/zona-occidental/bogota/apartaestudio-en-arriendo/191800228"
"Nicolas de federman, Bogotá","$ 3,250,000",3.0,2.0,80.0,Apartamento,"https://www,fincaraiz,com,co/arriendo/casas-y-apartamentos-y-apartaestudios-y-habitaciones/nicolas-de-federman/zona-occidental/bogota/apartamento-en-arriendo/191960440"
"Nicolas de federman, Bogotá","$ 1,470,000",1.0,1.0,20.0,Apartaestudio,"https://www,fincaraiz,com,co/arriendo/casas-y-apartamentos-y-apartaestudios-y-habitaciones/nicolas-de-federman/zona-occidental/bogota/apartaestudio-en-arriendo/7964910"
"Nicolas de federman, Bogotá","$ 2,350,000",2.0,1.0,64.0,Apartamento,"https://www,fincaraiz,com,co/arriendo/casas-y-apartamentos-y-apartaestudios-y-habitaciones/nicolas-de-federman/zona-occidental/bogota/apartamento-en-arriendo/191858281"
"Nicolas de federman, Bogotá","$ 1,600,000",1.0,1.0,45.0,Apartamento en Arriendo,"https://www,fincaraiz,com,co/arriendo/casas-y-apartamentos-y-apartaestudios-y-habitaciones/nicolas-de-federman/zona-occidental/bogota/pagina2/</apartamento-en-arriendo/191911118>"
"Nicolas de federman, Bogotá","$ 4,000,000",3.0,3.0,170.0,Apartamento en Arriendo,"https://www,fincaraiz,com,co/arriendo/casas-y-apartamentos-y-apartaestudios-y-habitaciones/nicolas-de-federman/zona-occidental/bogota/pagina2/</apartamento-en-arriendo/191402553>"
"Nicolas de federman, Bogotá","$ 3,500,000",2.0,3.0,87.0,Apartamento en Arriendo,"https://www,fincaraiz,com,co/arriendo/casas-y-apartamentos-y-apartaestudios-y-habitaciones/nicolas-de-federman/zona-occidental/bogota/pagina2/</apartamento-en-arriendo/191406493>"
"Nicolas de federman, Bogotá","$ 3,750,000",3.0,3.0,110.0,Apartamento en Arriendo,"https://www,fincaraiz,com,co/arriendo/casas-y-apartamentos-y-apartaestudios-y-habitaciones/nicolas-de-federman/zona-occidental/bogota/pagina2/</apartamento-en-arriendo/192025030>"
"Nicolas de federman, Bogotá","$ 3,000,000",2.0,2.0,86.0,Apartamento en arriendo,"https://www,fincaraiz,com,co/arriendo/casas-y-apartamentos-y-apartaestudios-y-habitaciones/nicolas-de-federman/zona-occidental/bogota/pagina2/</apartamento-en-arriendo/10297662>"
"Nicolas de federman, Bogotá","$ 2,250,000",1.0,1.0,45.0,Apartamento en Arriendo,"https://www,fincaraiz,com,co/arriendo/casas-y-apartamentos-y-apartaestudios-y-habitaciones/nicolas-de-federman/zona-occidental/bogota/pagina2/</apartamento-en-arriendo/191528371>"
"Nicolas de federman, Bogotá","$ 3,100,000",2.0,2.0,83.0,Apartamento en Arriendo,"https://www,fincaraiz,com,co/arriendo/casas-y-apartamentos-y-apartaestudios-y-habitaciones/nicolas-de-federman/zona-occidental/bogota/pagina2/</apartamento-en-arriendo/192036054>"
"Nicolas de federman, Bogotá","$ 2,000,000",1.0,1.0,35.0,Apartamento en Arriendo,"https://www,fincaraiz,com,co/arriendo/casas-y-apartamentos-y-apartaestudios-y-habitaciones/nicolas-de-federman/zona-occidental/bogota/pagina2/</apartamento-en-arriendo/191891812>"
